time,pHs0,pT02,pT24,trajectory
2024-09-17 00:22:29,0.8455114823309355,9.354551085147394,5.95809756207101,2024-09-Isfjorden-Mooring-02a
2024-09-17 02:22:30,0.7026918319903541,9.323342445963819,5.9691153315010475,2024-09-Isfjorden-Mooring-02a
2024-09-17 04:23:35,0.7156284280627281,10.339998233396246,6.4950374622957865,2024-09-Isfjorden-Mooring-02a
2024-09-17 06:22:32,0.7528571027005211,10.898041972822679,8.287540207950622,2024-09-Isfjorden-Mooring-02a
2024-09-17 08:22:29,0.9195918937569575,11.02617093166786,9.055919494193448,2024-09-Isfjorden-Mooring-02a
2024-09-17 10:23:00,0.9470493552719625,10.58364135307114,8.127733517477049,2024-09-Isfjorden-Mooring-02a
2024-09-17 12:22:32,1.1792615818435659,10.75464761501586,8.609569502764373,2024-09-Isfjorden-Mooring-02a
2024-09-17 14:22:32,1.1064885624619267,11.19239627142034,8.83759667474146,2024-09-Isfjorden-Mooring-02a
2024-09-17 16:22:54,0.593525656912804,9.359002937432226,6.738939568756276,2024-09-Isfjorden-Mooring-02a
2024-09-17 18:22:31,0.7581284708499257,8.810496154405651,6.972426636712004,2024-09-Isfjorden-Mooring-02a
2024-09-17 20:22:29,1.1220409926192687,8.913816109649048,6.61884936799202,2024-09-Isfjorden-Mooring-02a
2024-09-17 22:22:53,1.201149239006606,8.79432396733735,7.199097174843523,2024-09-Isfjorden-Mooring-02a
2024-09-18 00:22:32,1.0203876471363873,8.39161241953597,6.956404029117869,2024-09-Isfjorden-Mooring-02a
2024-09-18 02:22:28,1.030401588889338,8.40976861831189,6.894078715701864,2024-09-Isfjorden-Mooring-02a
2024-09-18 04:22:54,0.9759233408797142,8.596719846051188,7.250766824042628,2024-09-Isfjorden-Mooring-02a
2024-09-18 06:22:29,1.0548831291501617,8.596077426562452,6.999958351436111,2024-09-Isfjorden-Mooring-02a
2024-09-18 08:22:33,1.0715277661399085,8.084473203365391,6.538919005253033,2024-09-Isfjorden-Mooring-02a
2024-09-18 10:23:10,0.949067846544053,7.222405655676208,5.626637184821169,2024-09-Isfjorden-Mooring-02a
2024-09-18 12:22:31,0.8003457242271751,6.950721803978952,5.162680220507272,2024-09-Isfjorden-Mooring-02a
2024-09-18 14:22:32,0.6583669731352454,7.152733707657935,5.759777061495363,2024-09-Isfjorden-Mooring-02a
2024-09-18 16:23:02,0.6595518640368508,7.69484832358815,6.449819024099087,2024-09-Isfjorden-Mooring-02a
2024-09-18 18:22:31,0.4869762598889502,7.211353004264082,5.985093144183443,2024-09-Isfjorden-Mooring-02a
2024-09-18 20:22:31,0.5106039336072188,7.285207783335952,6.092584556211296,2024-09-Isfjorden-Mooring-02a
2024-09-18 22:22:52,0.4320951881289682,8.295644771920301,6.307934867091256,2024-09-Isfjorden-Mooring-02a
2024-09-19 00:22:31,0.41085169184596076,6.782669153635267,4.762868680616786,2024-09-Isfjorden-Mooring-02a
2024-09-19 02:22:30,0.4555823351261999,6.378279214476733,4.81783141177899,2024-09-Isfjorden-Mooring-02a
2024-09-19 04:23:02,0.659030622211032,5.390663204365717,3.9130394155339214,2024-09-Isfjorden-Mooring-02a
2024-09-19 06:22:30,0.5796843663860108,4.778043570354438,3.9392459310028953,2024-09-Isfjorden-Mooring-02a
2024-09-19 08:22:32,0.7839184249542432,5.701284447102788,4.151451107595918,2024-09-Isfjorden-Mooring-02a
2024-09-19 10:23:01,0.9868408390073806,5.970475937093967,4.262759304402503,2024-09-Isfjorden-Mooring-02a
2024-09-19 12:22:32,1.1936658747493132,5.862337893581536,4.2260247721118676,2024-09-Isfjorden-Mooring-02a
2024-09-19 14:22:32,0.842317929467493,4.927759818196658,4.0640615659630495,2024-09-Isfjorden-Mooring-02a
2024-09-19 16:23:01,0.8646626288123853,5.526556631247655,4.079104573432979,2024-09-Isfjorden-Mooring-02a
2024-09-19 18:22:29,0.6914688423419976,5.6653439890031825,4.015929183160821,2024-09-Isfjorden-Mooring-02a
2024-09-19 20:22:30,0.746826228808061,5.4400020617351545,4.021756376403611,2024-09-Isfjorden-Mooring-02a
2024-09-19 22:23:04,0.6829185775812254,6.931362377029309,4.315665703776278,2024-09-Isfjorden-Mooring-02a
